VTTOWN_,FIPS,TOWNNAME,RPC,SHAPE_AREA,SHAPE_LEN,SUMid,SUMzip,SUMlat,SUMlng,COUNT
13,11080,SWANTON,FG,129976978.79700000584,71590.06851230000,300361.0000000000000000,5488.0000000000000000,44.9213230000000010,-73.1122069999999979,1.0000000000000000
59,7050,MILTON,CC,136524671.46399998665,52390.13844310000,331841.0000000000000000,5468.0000000000000000,44.6538120000000021,-73.1170879999999954,1.0000000000000000
185,21035,FAIR HAVEN,RR,47934375.29299999774,36666.31628550000,308651.0000000000000000,5743.0000000000000000,43.5925829999999976,-73.2656400000000048,1.0000000000000000
187,21095,RUTLAND CITY,RR,19624641.02169999853,20513.70489880000,1291594.0000000000000000,22804.0000000000000000,174.4408960000000093,-291.9132959999999457,4.0000000000000000
190,21085,POULTNEY,RR,115607561.03200000525,45453.97745630000,308650.0000000000000000,5764.0000000000000000,43.5166490000000010,-73.2324490000000026,1.0000000000000000
200,27050,LUDLOW,SW,94840575.22709999979,43003.33169320000,308574.0000000000000000,5149.0000000000000000,43.3961880000000022,-72.7009510000000034,1.0000000000000000
203,27100,WEATHERSFIELD,SW,115061707.87800000608,45635.07076480000,340762.0000000000000000,5030.0000000000000000,43.4044829999999990,-72.4113310000000041,1.0000000000000000
253,7025,COLCHESTER,CC,96041394.44069999456,78739.62487460001,1003735.0000000000000000,16338.0000000000000000,133.5391319999999951,-219.5864049999999850,3.0000000000000000
73,15035,MORRISTOWN,LC,131342963.66899999976,57930.93038630000,310116.0000000000000000,5661.0000000000000000,44.5767700000000033,-72.5954899999999981,1.0000000000000000
72,5035,LYNDON,NV,104457403.48700000346,40926.63137100000,300852.0000000000000000,5851.0000000000000000,44.5266829999999985,-72.0006439999999941,1.0000000000000000
77,7030,ESSEX,CC,101859806.65199999511,47852.31638660000,957028.0000000000000000,16357.0000000000000000,133.5069330000000036,-219.2403570000000173,3.0000000000000000
78,15040,STOWE,LC,189491453.67100000381,62232.31370040000,348703.0000000000000000,5672.0000000000000000,44.4541699999999977,-72.6958300000000008,1.0000000000000000
254,7015,BURLINGTON,CC,28877328.42130000144,39207.76558690000,984164.0000000000000000,16203.0000000000000000,133.4292370000000005,-219.6246530000000234,3.0000000000000000
85,5055,ST. JOHNSBURY,NV,95619670.43799999356,40490.60199490000,301219.0000000000000000,5819.0000000000000000,44.4177630000000008,-72.0160680000000042,1.0000000000000000
255,7070,SO. BURLINGTON,CC,42554066.98700000346,34071.24383790000,993853.0000000000000000,16209.0000000000000000,133.3664320000000032,-219.5706760000000202,3.0000000000000000
89,7085,WILLISTON,CC,78806361.65690000355,41692.82645820000,1024680.0000000000000000,16485.0000000000000000,133.3299690000000055,-219.3413040000000365,3.0000000000000000
107,23055,MONTPELIER,CV,26113021.89750000089,26608.82303340000,337347.0000000000000000,5602.0000000000000000,44.2561180000000007,-72.5761420000000044,1.0000000000000000
114,23015,BERLIN,CV,89589028.51250000298,42672.46772740000,345953.0000000000000000,5641.0000000000000000,44.2194199999999995,-72.5418099999999981,1.0000000000000000
120,23005,BARRE CITY,CV,11389603.81560000032,16380.08991800000,300666.0000000000000000,5641.0000000000000000,44.2001630000000034,-72.5045360000000016,1.0000000000000000
121,23065,NORTHFIELD,CV,117039284.96600000560,47043.00542380000,352038.0000000000000000,5663.0000000000000000,44.1381409999999974,-72.6631830000000036,1.0000000000000000
126,1065,NEW HAVEN,AC,110843420.76100000739,53076.20368140000,349044.0000000000000000,5472.0000000000000000,44.1224300000000014,-73.1815699999999936,1.0000000000000000
141,1055,MIDDLEBURY,AC,103744844.75200000405,41708.10345700000,335834.0000000000000000,5753.0000000000000000,44.0125359999999972,-73.1651669999999967,1.0000000000000000
148,17045,RANDOLPH,TR,125647353.34499999881,45096.17779780000,335824.0000000000000000,5060.0000000000000000,43.9219000000000008,-72.6647300000000058,1.0000000000000000
175,27040,HARTFORD (WHITE RIVE,UV,120401221.23600000143,45234.43663530000,688801.0000000000000000,10060.0000000000000000,87.2899019999999979,-144.7668360000000121,2.0000000000000000
180,21015,CASTLETON,RR,108543754.12399999797,42242.12444430000,348340.0000000000000000,5735.0000000000000000,43.6086889999999983,-73.2079970000000060,1.0000000000000000
35,11070,ST. ALBANS TOWN,FG,97898815.91060000658,65166.90792580000,653159.0000000000000000,10956.0000000000000000,89.6299640000000011,-146.1532750000000078,2.0000000000000000
42,11065,ST. ALBANS CITY,FG,4932376.61574999988,10068.44985000000,301071.0000000000000000,5478.0000000000000000,44.8022059999999982,-73.0878529999999955,1.0000000000000000
211,27090,SPRINGFIELD,SW,126108517.19699999690,45684.42767580000,687749.0000000000000000,10312.0000000000000000,86.6032730000000015,-144.9750569999999925,2.0000000000000000
217,25070,ROCKINGHAM,WR,104733367.54899999499,50199.81306350000,331319.0000000000000000,5101.0000000000000000,43.1365399999999966,-72.4488900000000058,1.0000000000000000
221,3025,MANCHESTER,BC,109543288.48100000620,41794.41162220000,337758.0000000000000000,5255.0000000000000000,43.1737820000000028,-73.0605110000000053,1.0000000000000000
226,25095,WESTMINSTER,WR,116412324.89800000191,45512.99781600000,341421.0000000000000000,5158.0000000000000000,43.0855960000000024,-72.4390630000000044,1.0000000000000000
239,3010,BENNINGTON,BC,108802614.20499999821,41741.03817500000,675965.0000000000000000,10402.0000000000000000,85.7807619999999957,-146.4034730000000195,2.0000000000000000
538976288,25010,BRATTLEBORO,WR,79868605.14839999378,39610.23649890000,644610.0000000000000000,10602.0000000000000000,85.7050030000000049,-145.1806700000000205,2.0000000000000000
